fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-01-30,Medallon A Base De Vegetal X4 Not Burger 320g,Medallones Notco Not Burger Premium X4 320grs,8600.0,6715.1,6200.35,,,5740.0
2026-01-30,Medallon Not chicken burger flow pack x2 80 g.,Medallon Notchicken Burger 160g (2u),,3152.1,2895.1,,4850.0,
2026-01-30,Medallones Notco Not Burger X2 160grs,Medallones Notco Not Burger X2 160grs,5019.0,3724.7,3435.25,,,4130.0
2026-01-30,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,2983.0,,,,,
2026-01-30,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,4433.0,,4315.35,4130.0,4935.0,4760.0
2026-01-30,Not Burger XL 2x120g (240g),Medallones Notco Not Burger Xl Premium X2 240grs,7379.0,5550.3,5131.75,,,5985.0
2026-01-30,Not Burguer Quick 2 U De 65 Gr,Medallon NotBurger Quick NotCo 130 Gr.,,2411.5,2128.1,2125.0,,
2026-01-30,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,5499.0,4025.7,2887.5,,6400.0,5900.0
2026-01-30,Not Chicken Mila 220g,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,4919.0,3628.1,3695.25,,5650.0,5350.0
2026-01-30,Not Chicken Mila con Semillas 220g,Mila con semillas NotChicken 110 grs,5685.0,3920.0,,,,
2026-01-30,Not Chicken Nuggets 300g,NotChicken Nuggets 300 Gr.,7630.0,5401.9,4965.35,4915.0,,7800.0
2026-01-30,Not Chicken Relleno Champis 240g,Medallones Notco Not Chicken Rellenos Champis X2 120grs,5715.0,5033.0,3714.75,,,
2026-01-30,Not Chicken Relleno Espinaca 240g,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,5710.0,4266.5,3714.75,3710.0,6300.0,5950.0
2026-01-30,Not Chicken Relleno Napolitana 240g,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,5715.0,4266.5,3714.75,,,
2026-01-30,Not Chicken Spicy 250g,Bocadito plant based spicy bites Not Chicken 250 g.,7319.0,5103.0,4757.35,,8100.0,
2026-01-30,Not Chicken Sticks 300g,Notchicken Sticks 300g,7269.0,5401.9,4965.35,,,7700.0
2026-01-30,Not Chorixo 240g,Chorizo Vegano X 240 Gr Not Chorixo,9250.0,9120.0,5849.35,,9500.0,
2026-01-30,Not Ice Cream Paleta Chocolate Blanco 4x240g,Paletas Heladas De Chocolate Blanco Not Icecream 4 X 240 Gr,,,5918.25,,,
2026-01-30,Not Mila 220g,Milanesas Notco Not Mila X2 220grs,,3175.9,2904.85,2745.0,,
2026-01-30,Not Mila Chicken 220g,NotMila Chicken 220 Gr.,,,3359.85,5160.0,,
2026-01-30,Not Mila con Semillas 220g,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,4919.0,3561.6,3197.35,,,
2026-01-30,Not Milk Avena 1L,Bebida Vegetal Avena X 1 L Not Milk,,,,,3450.0,
2026-01-30,Not Milk Original 1L,Bebida Vegetal Original X 1 L Not Milk,5695.0,,,,3450.0,
2026-01-30,Not Protein Bar Almond Salted Caramel 45g,Barra proteica Not Protein almond salted 45 grs,2110.0,,,,,
2026-01-30,Not Protein Bar Berry Pie 45g,Barra proteica Not Protein barry pie 45 grs,2110.0,,,,,
2026-01-30,Not Protein Bar Chocolate Brownie 45g,Barra proteica Not Protein chocolate 45 grs,2110.0,,,,,
2026-01-30,Not Protein Bar Crunchy Chocomaní 35g,Barra proteica NotProtein crunchy chocomani 35 grs,1750.0,,,,,
2026-01-30,Not Protein Bar Crunchy Netflix 35g,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,1750.0,,,,1365.0,
2026-01-30,Not Salxicha 250g,Notco Not Salxicha X5 250grs,5719.0,6852.0,,,,
