fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-06-07,Body Splash Go To Be Chill Not Boring 250 ml,Body Splash Go To Be Chill Not Boring 250 ml,18599.0,,,,,
2026-06-07,Body splash Chill not boring GO TO BE 250ml,Body splash Chill not boring GO TO BE 250ml,,,13949.99,,,
2026-06-07,Crema corporal Chill Not Boring GO TO BE 240g,Crema corporal Chill Not Boring GO TO BE 240g,,,11495.24,,,
2026-06-07,Crema corporal Go To Be Chill Not Boring 340 ml,Crema corporal Go To Be Chill Not Boring 340 ml,9450.0,,,,,
2026-06-07,Crema corporal Go To Be manteca de karité Chill Not Boring 240 ml,Crema corporal Go To Be manteca de karité Chill Not Boring 240 ml,14650.0,,,,,
2026-06-07,Crema corporal chill not boring GO TO BE 340g,Crema corporal chill not boring GO TO BE 340g,,,7398.74,,,
2026-06-07,Kinoto 1kgs,Kinoto 1kgs,,3990.0,,,,
2026-06-07,Medallon A Base De Vegetal X4 Not Burger 320g,Medallón Not burger premium flow pack 4 uni,7143.5,,6633.25,,,
2026-06-07,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,3240.3,,3008.85,,4950.0,3022.5
2026-06-07,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,3500.0,,
2026-06-07,Medallones Notco Not Burger X2 160grs,Medallón Not burger premium flow pack 2 uni,5655.0,,3675.75,,,
2026-06-07,Medallones de calabaza Not Burger 2 uni,Medallones de calabaza Not Burger 2 uni,4300.0,,,,,
2026-06-07,Medallones de espinaca Not Burger 2 uni,Medallones de espinaca Not Burger 2 uni,4300.0,,,,,
2026-06-07,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,3430.0,,,,,
2026-06-07,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,7099.0,,4614.35,5035.0,,
2026-06-07,Not Burger XL 2x120g (240g),Medallones Notco Not Burger Xl Premium X2 240grs,5911.5,8484.0,5489.25,,,
2026-06-07,Not Burguer Quick 2 U De 65 Gr,Medallón Not burger quick flow pack 2 uni,2450.0,,2280.85,,2470.0,
2026-06-07,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,5999.0,,3899.35,,6500.0,4030.0
2026-06-07,Not Chicken Mila 220g,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,4015.0,,4100.85,,3932.5,
2026-06-07,Not Chicken Mila con Semillas 220g,Mila con semillas NotChicken 110 grs,4416.3,,,,,
2026-06-07,Not Chicken Nuggets 300g,NotChicken Nuggets 300 Gr.,7945.0,,5164.25,7945.0,8550.0,
2026-06-07,Not Chicken Relleno Champis 240g,Medallones Notco Not Chicken Rellenos Champis X2 120grs,4441.5,5187.65,4124.25,,6750.0,
2026-06-07,Not Chicken Relleno Espinaca 240g,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,4441.5,4397.25,4124.25,,6750.0,
2026-06-07,Not Chicken Spicy 250g,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,4928.3,4945.85,,,
2026-06-07,Not Chicken Sticks 300g,Notchicken Sticks 300g,5561.5,,5164.25,,8600.0,
2026-06-07,Not Chorixo 240g,Chorizo Vegano Congelado x 4 Un 240 Grs Not Chorixo,6866.3,,6375.85,,10400.0,
2026-06-07,Not Mila 220g,NotMila Meat 220 Gr.,,,3223.35,4960.0,,
2026-06-07,Not Mila Chicken 220g,NotMila Chicken 220 Gr.,,,3730.35,5740.0,,
2026-06-07,Not Mila con Semillas 220g,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,5648.0,3548.35,,,
2026-06-07,Not Milk Avena 1L,Bebida Vegetal Avena X 1 L Not Milk,,,3701.75,,4725.0,
2026-06-07,Not Milk Original 1L,Bebida Vegetal NOT MILK Original X 1 Lt,3986.5,,3701.75,,,
2026-06-07,Not Protein Bar Almond Salted Caramel 45g,Barra proteica Not Protein almond salted 45 grs,1500.0,,2250.0,,,
2026-06-07,Not Protein Bar Berry Pie 45g,Barra proteica Not Protein barry pie 45 grs,1500.0,,2250.0,,,
2026-06-07,Not Protein Bar Chocolate Brownie 45g,Barra proteica Not Protein chocolate 45 grs,1500.0,,2250.0,,,
2026-06-07,Not Protein Bar Crunchy Chocolemon 35g,Barra proteíca Crunchy Chocolemon Notprotein 35 grs,1850.0,,1850.0,,,
2026-06-07,Not Protein Bar Crunchy Chocomaní 35g,Barra proteica NotProtein Crunchy Chocomani 35 grs,1850.0,,1850.0,,,
2026-06-07,Not Protein Bar Crunchy Netflix 35g,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,1850.0,,,,1333.33,
2026-06-07,Not Protein Bar Crunchy Popcorn 35g,Not Protein Bar Crunchy POPCORN 35g,,,1850.0,,,
2026-06-07,Not Salxicha 250g,Salchicha de planta Not Salxicha 5 uni,5232.5,,,,,
