fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-03-30,Medallon A Base De Vegetal X4 Not Burger 320g,Medallones Notco Not Burger Premium X4 320grs,6200.35,10265.0,,,11450.0,
2026-03-30,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,3008.85,,,,4650.0,
2026-03-30,Medallones Notco Not Burger X2 160grs,Medallones Notco Not Burger X2 160grs,5655.0,5693.0,,,,
2026-03-30,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,2755.35,,,,,
2026-03-30,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,4295.85,,,4615.0,7300.0,
2026-03-30,Not Burger XL 2x120g (240g),Medallones Notco Not Burger Xl Premium X2 240grs,8445.0,8484.0,,,9550.0,9100.0
2026-03-30,Not Burguer Quick 2 U De 65 Gr,Medallon NotBurger Quick NotCo 130 Gr.,3500.0,,,2275.0,,
2026-03-30,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,5999.0,5981.0,,,,6050.0
2026-03-30,Not Chicken Mila 220g,Milanesa Not Chicken Mila 110 Gr X 2 U,5160.0,5753.0,,,5750.0,
2026-03-30,Not Chicken Mila con Semillas 220g,Mila con semillas NotChicken 110 grs,6309.0,,,,,
2026-03-30,Not Chicken Nuggets 300g,NotChicken Nuggets 300 Gr.,4959.5,8026.0,,4959.5,8300.0,7800.0
2026-03-30,Not Chicken Relleno Champis 240g,Medallones Notco Not Chicken Rellenos Champis X2 120grs,4095.0,7981.0,,,,
2026-03-30,Not Chicken Relleno Espinaca 240g,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,6100.0,6765.0,,,6350.0,6350.0
2026-03-30,Not Chicken Spicy 250g,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,7582.0,,,8100.0,
2026-03-30,Not Chicken Sticks 300g,Nuggets Not chicken sticks 300 g.,7945.0,8026.0,,,8400.0,7950.0
2026-03-30,Not Chorixo 240g,Chorizo a base de planta NotChorixo 240 grs,7275.0,,,,,
2026-03-30,Not Mila 220g,Milanesas Notco Not Mila X2 220grs,,5036.0,,3224.0,,
2026-03-30,Not Mila Chicken 220g,NotMila Chicken 220 Gr.,,,,3354.0,,
2026-03-30,Not Mila con Semillas 220g,Mila con semillas NotMila 110 grs,3821.3,5648.0,,,,
2026-03-30,Not Milk Avena 1L,Bebida Vegetal Avena X 1 L Not Milk,6100.0,,,,6300.0,
2026-03-30,Not Milk Original 1L,Leche plant based Not Milk original tetra 1lt,5695.0,,,,,
2026-03-30,Not Protein Bar Almond Salted Caramel 45g,Barra proteica Not Protein almond salted 45 grs,2250.0,,,,,
2026-03-30,Not Protein Bar Berry Pie 45g,Barra proteica Not Protein barry pie 45 grs,2250.0,,,,,
2026-03-30,Not Protein Bar Chocolate Brownie 45g,Barra proteica Not Protein chocolate 45 grs,2250.0,,,,,
2026-03-30,Not Protein Bar Crunchy Chocolemon 35g,Barra proteica Crunchy chocolemon notprotein 35 grs,1233.33,,,,,
2026-03-30,Not Protein Bar Crunchy Chocomaní 35g,Barra proteica NotProtein crunchy chocomani 35 grs,1233.33,,,,,
2026-03-30,Not Protein Bar Crunchy Netflix 35g,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,1233.33,,,,2000.0,
2026-03-30,Not Salxicha 250g,Salchicha de planta Not Salxicha 5 uni,7475.0,,,,,
