fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-10-02,Hamburguesa Vegetal Soja Vegetalex 300g,Hamburguesa Vegetalex Soja 300 Gr,5669.0,5590.0,,,6300.0,5800.0
2025-10-02,Hamburguesa Vegetal Tradicional Vegetalex 226g,Burger 100 Vegetal 226 Gr Vegetalex,6350.0,6349.0,6359.0,6350.0,7150.0,6650.0
2025-10-02,Hot Dogs 100% Vegetal Vegetalex 225g,Formados De Vegetales Vegetalex Tipo Hot Dogs X6 225grs,,6349.0,6329.0,6350.0,7250.0,6700.0
2025-10-02,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,2028.65,,
2025-10-02,"Medallones Vegetales Calabaza, Avena y Chía Vegetalex 300g",Medallones De Calabaza Avena Y Chia Vegetalex 300g,5670.0,5590.0,5675.0,5670.0,6400.0,5950.0
2025-10-02,Medallones Vegetales Espinaca Vegetalex 300g,Medallones De Espinaca Vegetalex 300g,5670.0,5590.0,5675.0,5670.0,6400.0,5950.0
2025-10-02,Medallones Vegetales Legumbres y Quinoa Vegetalex 300g,Medallones De Legumbres Y Quinoa Vegetalex 300g,5669.0,5590.0,5675.0,,6400.0,5950.0
2025-10-02,Medallones Vegetales Verduras Vegetalex 300g,Medallones De Verduras Vegetalex 300g,5675.0,5590.0,5675.0,,6400.0,5950.0
2025-10-02,Medallón NotBurger Parrillera NotCo 220 Gr.,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,4316.0,,
2025-10-02,Milanesa de Soja Calabaza Vegetalex 340g,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,2622.0,4390.0,2840.5,,5050.0,3022.5
2025-10-02,Milanesa de Soja Cebolla Vegetalex 340g,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,2622.0,4390.0,2840.5,,5050.0,3022.5
2025-10-02,Milanesa de Soja Espinaca Vegetalex 340g,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,2399.4,4390.0,2599.35,,5050.0,3022.5
2025-10-02,Milanesa de Soja Vegetalex Tradicional 340g,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,2190.0,3990.0,2629.25,3990.0,4500.0,2730.0
2025-10-02,NotChicken Nuggets 300 Gr.,NotChicken Nuggets 300 Gr.,,,,4917.25,,
2025-10-02,NotMila Chicken 220 Gr.,NotMila Chicken 220 Gr.,,,,3269.5,,
2025-10-02,NotMila Crispy Rellena Espinaca 240 Gr.,NotMila Crispy Rellena Espinaca 240 Gr.,,,,3503.5,,
2025-10-02,NotMila Meat 220 Gr.,NotMila Meat 220 Gr.,,,,2743.0,,
2025-10-02,Nuggets 100% Vegetal Vegetalex 300g,Nuggets 100 Vegetal 300 Gr Vegetalex,6359.0,6349.0,6359.0,,7250.0,6700.0
2025-10-02,Snack de Arroz Sabor Queso Vegetalex 40g,Snack De Arroz Sabor Queso Vegetalex 40g,,,1586.0,,,
2025-10-02,Snack de Arroz con Chocolate Vegetalex 60g,Snack De Arroz Con Chocolate Vegetalex 60g,,,2290.0,,,
2025-10-02,Snack de Arroz y Quinoa Vegetalex 40g,Snack De Arroz Y Quinoa Vegetalex 40g,,,1586.0,,,
