fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-04-06,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.200,
2026-04-06,Barra proteica Crunchy chocolemon notprotein 35 grs,"$ 1.850,00",,,,,
2026-04-06,Barra proteica Not Protein almond salted 45 grs,"$ 1.500,00",,,,,
2026-04-06,Barra proteica Not Protein barry pie 45 grs,"$ 1.500,00",,,,,
2026-04-06,Barra proteica Not Protein chocolate 45 grs,"$ 1.500,00",,,,,
2026-04-06,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.850,00",,,,,
2026-04-06,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.850,00",,,,,
2026-04-06,Bebida Vegetal Avena X 1 L Not Milk,,,,,$6.300,
2026-04-06,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$8.100,
2026-04-06,Body Splash Go To Be Chill Not Boring 250 ml,"$ 16.908,57",,,,,
2026-04-06,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.400,$6.050
2026-04-06,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$3.810,
2026-04-06,Chorizo Vegano X 240 Gr Not Chorixo,,,,,$10.400,
2026-04-06,Chorizo a base de planta NotChorixo 240 grs,"$ 7.275,00",,,,,
2026-04-06,Crema corporal Go To Be Chill Not Boring 340 ml,"$ 8.967,62",,,,,
2026-04-06,Crema corporal Go To Be manteca de karité Chill Not Boring 240 ml,"$ 13.933,33",,,,,
2026-04-06,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.582,00",,,,
2026-04-06,Leche plant based Not Milk original tetra 1lt,"$ 3.701,75",,,,,
2026-04-06,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.629,00",,,,,
2026-04-06,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.500,,
2026-04-06,Medallones Notco Not Burger Premium X4 320grs,,"$$10.265,00",,,,
2026-04-06,Medallones Notco Not Burger X2 160grs,,"$$5.693,00",,,,
2026-04-06,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$8.484,00",,,,
2026-04-06,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$6.765,00",,,,
2026-04-06,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$7.981,00",,,,
2026-04-06,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,$6.870,$6.660
2026-04-06,Medallón Not burger parrillera 2 uni,"$ 6.609,00",,,,,
2026-04-06,Medallón Not burger premium XL flow pack 2 uni,"$ 8.445,00",,,,,
2026-04-06,Medallón Not burger premium flow pack 2 uni,"$ 3.770,00",,,,,
2026-04-06,Medallón Not burger premium flow pack 4 uni,"$ 9.539,00",,,,,
2026-04-06,Medallón Not burger quick flow pack 2 uni,"$ 2.180,00",,,,,
2026-04-06,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 4.554,,
2026-04-06,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$6.550,$6.300
2026-04-06,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,$5.730,$5.460
2026-04-06,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 3.850,00",,,,,
2026-04-06,Medallón relleno champis NotChicken 240 grs,"$ 6.300,00",,,,,
2026-04-06,Medallón relleno espinaca Not chicken 240 g.,"$ 6.345,00",,,,,
2026-04-06,Mila con provenzal Notmila 110 grs,"$ 2.966,00",,,,,
2026-04-06,Mila con semillas NotChicken 110 grs,"$ 6.309,00",,,,,
2026-04-06,Mila con semillas NotMila 110 grs,"$ 5.459,00",,,,,
2026-04-06,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$3.450,$3.450
2026-04-06,Milanesas Notco Not Chicken Mila X2 220grs,,"$$4.027,10",,,,
2026-04-06,Milanesas Notco Not Mila X2 220grs,,"$$3.525,20",,,,
2026-04-06,Not Burguer Quick 2 U De 65 Gr,,,,,$3.550,$3.550
2026-04-06,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$4.650,$4.650
2026-04-06,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,$6.350,$6.350
2026-04-06,NotChicken Nuggets 300 Gr.,,,,$ 5.341,,
2026-04-06,NotChickenMila 2.0 220 g.,"$ 3.439,33",,,,,
2026-04-06,NotMila Chicken 220 Gr.,,,,"$ 3.564,45",,
2026-04-06,NotMila Meat 220 Gr.,,,,$ 3.174,,
2026-04-06,Notburger The Not Co Parrillera 110 Gr,,,,,$4.440,$4.170
2026-04-06,Notchicken Burger Crispy X2 200grs,,"$$5.981,00",,,,
2026-04-06,Notchicken Burger X2 160grs,,"$$4.683,00",,,,
2026-04-06,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,"$ 389.999,00",,,,,
2026-04-06,Notebook Gadnic 14 Pulgadas Intel Celeron N4500 RAM 4GB SSD 128GB Cámara Frontal Con Soporte,"$ 359.649,00",,,,,
2026-04-06,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 944.899,00",,,,,
2026-04-06,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i3 RAM 8 GB,"$ 1.646.899,00",,,,,
2026-04-06,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i5 RAM 16 GB,"$ 1.856.549,00",,,,,
2026-04-06,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i7 RAM 16 GB,"$ 2.111.799,00",,,,,
2026-04-06,Notmila Notco Con Semillas 220grs,,"$$3.953,60",,,,
2026-04-06,Nuggets 300 Gr Not Chicken,,,,,,$4.680
2026-04-06,Nuggets Not chicken en bolsa 300 g.,"$ 7.630,00",,,,,
2026-04-06,Nuggets Not chicken sticks 300 g.,"$ 7.945,00",,,,,
2026-04-06,Nuggets Notchicken Notco 0.3kgs,,"$$8.026,00",,,,
2026-04-06,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,"$$8.026,00",,,,
2026-04-06,Resaltador Sharpie S.Note Colores Varios,,"$$5.154,00",,,,
2026-04-06,Salchicha de planta Not Salxicha 5 uni,"$ 4.289,25",,,,,
2026-04-06,Set Chill Not Boring Go To Be body splash + crema corporal + shower gel,"$ 34.539,00",,,,,
2026-04-06,Sticks 300 Gr Not Chicken,,,,,$5.160,$4.920
