fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-03-01,Alimento a base de vegetales Vegetalex hot dog x6.,"$ 7.079,00",,,,,
2026-03-01,Burger 100 Vegetal 226 Gr Vegetalex,,,,,$7.900,
2026-03-01,Burger De Origen Vegetal Vegetalex 226g,,,"$7.079,00",,,
2026-03-01,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 7.075,,
2026-03-01,Hamburguesa Vegetalex Soja 300 Gr,,,,,$7.050,
2026-03-01,Hamburguesa de soja Vegetalex 4 u.,"$ 6.319,00",,,,,
2026-03-01,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,$7.900,
2026-03-01,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$7.079,00",,,
2026-03-01,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 7.075,,
2026-03-01,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.265,,
2026-03-01,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$6.322,00",,,
2026-03-01,Medallones De Espinaca Vegetalex 300g,,,"$6.322,00",,,
2026-03-01,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$6.322,00",,,
2026-03-01,Medallones De Legumbres Y Quinoa Vegetalex X4 300grs,,"$$6.550,00",,,,
2026-03-01,Medallones De Verduras Vegetalex 300g,,,"$6.322,00",,,
2026-03-01,Medallones De Verduras Vegetalex X4 300grs,,"$$6.550,00",,,,
2026-03-01,Medallones Vegetales VEGETALÉX 4 Uni X 75 Gr Soja,,,"$6.322,00",,,
2026-03-01,Medallón Calabaza 300 Gr Vegetalex,,,,,,$6.700
2026-03-01,Medallón Espinaca 300 Gr Vegetalex,,,,,$7.050,
2026-03-01,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 6.320,,
2026-03-01,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 6.320,,
2026-03-01,Medallón Verduras 300 Gr Vegetalex,,,,,$7.050,$6.700
2026-03-01,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 6.320,00",,,,,
2026-03-01,Medallón de espinaca Vegetalex en caja 4 uni,"$ 6.320,00",,,,,
2026-03-01,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 6.319,00",,,,,
2026-03-01,Medallón de vegetal burguer Vegetalex 2 uni,"$ 7.079,00",,,,,
2026-03-01,Medallón de verduras Vegetalex en caja 4 uni,"$ 6.319,00",,,,,
2026-03-01,Milanesa De Soja Con Espinaca Vegetalex 340 Gr.,,,,$ 4.885,,
2026-03-01,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,$5.450,$5.050
2026-03-01,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,$5.450,$5.050
2026-03-01,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,$5.450,$5.050
2026-03-01,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 4.410,,
2026-03-01,Milanesa de soja y cebolla Vegetalex 4 uni,"$ 4.885,00",,,,,
2026-03-01,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 4.885,00",,,,,
2026-03-01,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$4.885,00",,,
2026-03-01,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$4.885,00",,,
2026-03-01,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$4.885,00",,,
2026-03-01,Milanesas De Soja Tradicional Vegetalex 340g,,,"$4.439,00",,,
2026-03-01,Milanesas De Soja Vegetalex Con Calabaza X4 340grs,,"$$4.809,00",,,,
2026-03-01,NotMila Chicken 220 Gr.,,,,$ 5.155,,
2026-03-01,Nuggets 100 Vegetal 300 Gr Vegetalex,,,,,$7.900,$7.350
2026-03-01,Nuggets De Origen Vegetal Vegetalex 300g,,,"$7.079,00",,,
2026-03-01,Nuggets vegetal Vegetalex 300 g.,"$ 7.079,00",,,,,
2026-03-01,Snack De Arroz Con Chocolate Vegetalex 60g,,,"$2.473,99",,,
2026-03-01,Snack De Arroz Sabor Queso Vegetalex 40g,,,"$1.712,99",,,
2026-03-01,Snack De Arroz Y Quinoa Vegetalex 40g,,,"$1.712,99",,,
