fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-11-19,Burger 100 Vegetal 226 Gr Vegetalex,,,,,$7.900,$7.350
2025-11-19,Burger De Origen Vegetal Vegetalex 226g,,,"$6.935,00",,,
2025-11-19,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 7.080,,
2025-11-19,Hamburguesa Vegetalex Soja 300 Gr,,,,,$7.050,$6.550
2025-11-19,Hamburguesa de soja Vegetalex 4 u.,"$ 4.107,35",,,,,
2025-11-19,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,$7.900,$7.350
2025-11-19,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$6.935,00",,,
2025-11-19,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 7.080,,
2025-11-19,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.270,,
2025-11-19,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$6.189,00",,,
2025-11-19,Medallones De Calabaza Vegetalex Con Avena Y Chía X4 300grs,,"$$3.860,19",,,,
2025-11-19,Medallones De Espinaca Vegetalex 300g,,,"$6.189,00",,,
2025-11-19,Medallones De Espinaca Vegetalex X4 300grs,,"$$3.860,19",,,,
2025-11-19,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$6.189,00",,,
2025-11-19,Medallones De Legumbres Y Quinoa Vegetalex X4 300grs,,"$$3.860,19",,,,
2025-11-19,Medallones De Vegetales Vegetalex Burger X2 226grs,,"$$4.232,88",,,,
2025-11-19,Medallones De Verduras Vegetalex 300g,,,"$6.189,00",,,
2025-11-19,Medallones De Verduras Vegetalex X4 300grs,,"$$3.860,19",,,,
2025-11-19,Medallones Vegetales VEGETALÉX 4 Uni X 75 Gr Soja,,,"$6.189,00",,,
2025-11-19,Medallón Calabaza 300 Gr Vegetalex,,,,,$7.050,$6.550
2025-11-19,Medallón Espinaca 300 Gr Vegetalex,,,,,$7.050,$6.550
2025-11-19,Medallón Legumbres 300 Gr Vegetalex,,,,,$7.050,$6.550
2025-11-19,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 6.350,,
2025-11-19,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 6.320,,
2025-11-19,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 6.320,,
2025-11-19,Medallón Verduras 300 Gr Vegetalex,,,,,$7.050,$6.550
2025-11-19,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 5.670,00",,,,,
2025-11-19,Medallón de espinaca Vegetalex en caja 4 uni,"$ 5.670,00",,,,,
2025-11-19,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 6.319,00",,,,,
2025-11-19,Medallón de vegetal burguer Vegetalex 2 uni,"$ 4.127,50",,,,,
2025-11-19,Medallón de verduras Vegetalex en caja 4 uni,"$ 6.009,00",,,,,
2025-11-19,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,$5.450,$5.050
2025-11-19,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,$5.450,$5.050
2025-11-19,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,$5.450,$5.050
2025-11-19,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,,,,,$4.950,$4.600
2025-11-19,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 4.440,,
2025-11-19,Milanesa de calabaza Vegetalex 4 uni,"$ 4.629,00",,,,,
2025-11-19,Milanesa de soja Vegetalex 4 uni,"$ 3.990,00",,,,,
2025-11-19,Milanesa de soja y cebolla Vegetalex 4 uni,"$ 4.765,00",,,,,
2025-11-19,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 4.599,00",,,,,
2025-11-19,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$4.765,00",,,
2025-11-19,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$4.765,00",,,
2025-11-19,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$4.765,00",,,
2025-11-19,Milanesas De Soja Tradicional Vegetalex 340g,,,"$4.410,00",,,
2025-11-19,Milanesas De Soja Vegetalex Con Cebolla X4 340grs,,"$$2.926,81",,,,
2025-11-19,NotChicken Nuggets 300 Gr.,,,,$ 7.630,,
2025-11-19,NotMila Chicken 220 Gr.,,,,$ 4.000,,
2025-11-19,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 5.710,,
2025-11-19,NotMila Meat 220 Gr.,,,,$ 4.460,,
2025-11-19,Nuggets 100 Vegetal 300 Gr Vegetalex,,,,,$7.900,$7.350
2025-11-19,Nuggets De Origen Vegetal Vegetalex 300g,,,"$6.935,00",,,
2025-11-19,Nuggets Vegetalex Origen Vegetal 300grs,,"$$4.232,88",,,,
2025-11-19,Nuggets vegetal Vegetalex 300 g.,"$ 4.373,85",,,,,
2025-11-19,Snack De Arroz Con Chocolate Vegetalex 60g,,,"$2.290,00",,,
2025-11-19,Snack De Arroz Sabor Queso Vegetalex 40g,,,"$1.586,00",,,
2025-11-19,Snack De Arroz Y Quinoa Vegetalex 40g,,,"$1.586,00",,,
