fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-11-19,Alfajor Felices Las Vacas de maicena 60 g.,"$ 1.059,00",,,,,
2025-11-19,Alfajor de pistacho Felices las Vacas 60 grs,"$ 4.000,00",,,,,
2025-11-19,Alim Alm Clas Felices Las Vacas 200g,,,,,$3.200,
2025-11-19,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,,,,,$2.600,
2025-11-19,Alimento A Base De Almendra Untable Tradicional 200 Gr Felices Las Vacas,,,,,$3.150,
2025-11-19,Cremoso vegano Felices Las Vacas 500 g.,"$ 7.269,00",,,,,
2025-11-19,Dulce de almendras colonial Felices las vacas 250 g.,"$ 2.885,00",,,,,
2025-11-19,Fetas veganas Felices Las Vacas sabor danbo 200 g.,"$ 2.539,00",,,,,
2025-11-19,Hummus De Garbanzo Vegano Felices Las Vacas 220grs,,"$$1.950,00",,,,
2025-11-19,Hummus vegano Felices Las Vacas 230 g.,"$ 3.360,00",,,,,
2025-11-19,Jogurtti a base de almendras sabor durazno Felices las vacas 170 grs,"$ 1.739,00",,,,,
2025-11-19,Jogurtti de frutilla con base de almendras Felices las Vacas 170 g.,"$ 2.095,00",,,,,
2025-11-19,Jogurtti vainilla base de almendras Felices las vacas 170 g.,"$ 1.855,00",,,,,
2025-11-19,Medallón de arveja Felices las Vacas chickenvil party 2 uni,"$ 2.915,00",,,,,
2025-11-19,Medallón de arveja Felices las Vacas karnevil party 2 uni,"$ 2.405,00",,,,,
2025-11-19,Muzzalmendra vegana Felices Las Vacas 500 g.,"$ 6.955,00",,,,,
2025-11-19,Pasta vegana Felices Las Vacas sabor provolone 250 g.,"$ 5.349,00",,,,,
2025-11-19,Postre plant ba de chocolate Felices las Vacas 125 g.,"$ 1.569,00",,,,,
2025-11-19,Postre plant bas de dulce de leche Felices las Vacas 125 g.,"$ 1.569,00",,,,,
2025-11-19,Postrecito Felices Las Vacas Sabor Chocolate 125grs,,"$$1.450,00",,,,
2025-11-19,Postrecito Felices Las Vacas Sabor Dulce De Leche 125grs,,"$$1.350,00",,,,
2025-11-19,Postrecito Sabor Chocolate Vegano Felices Las Vacas,,,,,$1.750,
2025-11-19,Postrecito Sabor Dulce De Leche Vegano Felices Las Vacas,,,,,$1.750,
2025-11-19,Producto Untable A Base De Almendras Felices Las Vacas Clásico 200grs,,"$$1.890,00",,,,
2025-11-19,Producto Untable A Base De Almendras Felices Las Vacas Sabor Cheddar 200grs,,"$$1.890,00",,,,
2025-11-19,Producto Untable A Base De Almendras Felices Las Vacas Sabor Jamón Serrano 200grs,,"$$1.750,00",,,,
2025-11-19,Producto Vegetal Cremoso Felices Las Vacas Cilindro 500grs,,"$$5.690,00",,,,
2025-11-19,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,,,,,$4.200,
2025-11-19,Queso En Hebras Sabor Reggianito Vegano Felices Las Vacas 150g,,,,,$4.200,
2025-11-19,Queso Vegano Cheddar En Fetas Felices Las Vacas 150g,,,"$2.539,00",,,
2025-11-19,Queso Vegano Danbo En Fetas Felices Las Vacas 150g,,,"$2.539,00",,,
2025-11-19,Queso Vegano En Hebras Mix De Quesos Felices Las Vacas 150g,,,"$3.569,00",,,
2025-11-19,Queso Vegano En Hebras Reggianito Felices Las Vacas 150g,,,"$3.569,00",,,
2025-11-19,Queso Vegano FELICES LAS VACAS Cremoso Felices 500 Gr,,,"$7.269,00",,,
2025-11-19,Queso Vegano FELICES LAS VACAS Mozzarella 500 Gr,,,"$6.955,00",,,
2025-11-19,Queso Vegano FELICES LAS VACAS Provolone 250 Gr,,,"$5.399,00",,,
2025-11-19,Queso Vegano Muzzoliva Felices Las Vacas 500g,,,"$8.499,00",,,
2025-11-19,Queso cheddar en fetas Felices las Vacas 150 g.,"$ 2.539,00",,,,,
2025-11-19,Queso de almendra con oliva muzzoliva Felices las Vacas 500 grs,"$ 8.390,00",,,,,
2025-11-19,Untable A Base De Almendras Felices Las Vacas Sabor Dulce De Leche 250grs,,"$$2.150,00",,,,
2025-11-19,Untable fantastique finas hierbas Felices las vacas 200 g.,"$ 2.970,00",,,,,
2025-11-19,Yogur plant bas colchón de frutos rojos Felices las Vacas 125 g.,"$ 1.719,00",,,,,
2025-11-19,Yogur plant bas colchón mango y maracuya Felices las Vacas 125 g.,"$ 1.739,00",,,,,
2025-11-19,Yogurt Con Colchon De Frutos Del Bosque Vegano Felices Las Vacas 125g,,,,,$2.050,
2025-11-19,Yogurt Con Colchon De Maracuya Vegano Felices Las Vacas 125g,,,,,$2.050,
2025-11-19,Yogurt Sabor Natural Vegano Felices Las Vacas 170g,,,,,$2.400,
2025-11-19,Yogurt Vegano Sabor Durazno 170 Grs Felices Las Vacas,,,,,$2.400,
2025-11-19,Yogurt Vegano Sabor Frutilla 170 Grs Felices Las Vacas,,,,,$2.400,
2025-11-19,Yogurt Vegano Sabor Vainilla 170 Grs Felices Las Vacas,,,,,$2.400,
