fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-07-13,Alimento a base de vegetales Vegetalex hot dog x6.,"$ 4.336,00",,,,,
2025-07-13,Burger 100 Vegetal 226 Gr Vegetalex,,,,,$6.500,"$4.537,5"
2025-07-13,Burger De Origen Vegetal Vegetalex 226g,,,"$5.819,00",,,
2025-07-13,Formados De Vegetales Vegetalex Tipo Hot Dogs X6 225grs,,"$$5.800,00",,,,
2025-07-13,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 3.525,,
2025-07-13,Hamburguesa Vegetalex Soja 300 Gr,,,,,$5.700,$3.975
2025-07-13,Hamburguesa de soja Vegetalex 4 u.,"$ 3.399,20",,,,,
2025-07-13,Hamburguesas De Soja Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-13,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,,$4.575
2025-07-13,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$5.819,00",,,
2025-07-13,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 3.525,,
2025-07-13,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$5.189,00",,,
2025-07-13,Medallones De Calabaza Vegetalex Con Avena Y Chía X4 300grs,,"$$5.190,00",,,,
2025-07-13,Medallones De Espinaca Vegetalex 300g,,,"$5.189,00",,,
2025-07-13,Medallones De Espinaca Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-13,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$5.189,00",,,
2025-07-13,Medallones De Legumbres Y Quinoa Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-13,Medallones De Vegetales Vegetalex Burger X2 226grs,,"$$5.800,00",,,,
2025-07-13,Medallones De Verduras Vegetalex 300g,,,"$5.189,00",,,
2025-07-13,Medallones De Verduras Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-13,Medallones Vegetales VEGETALÉX 4 Uni X 75 Gr Soja,,,"$5.189,00",,,
2025-07-13,Medallón Calabaza 300 Gr Vegetalex,,,,,$5.800,$4.050
2025-07-13,Medallón Espinaca 300 Gr Vegetalex,,,,,$5.800,$4.050
2025-07-13,Medallón Legumbres 300 Gr Vegetalex,,,,,$5.800,$4.050
2025-07-13,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 3.150,,
2025-07-13,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 3.150,,
2025-07-13,Medallón Verduras 300 Gr Vegetalex,,,,,$5.800,$4.050
2025-07-13,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 3.872,00",,,,,
2025-07-13,Medallón de espinaca Vegetalex en caja 4 uni,"$ 3.872,00",,,,,
2025-07-13,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 4.151,20",,,,,
2025-07-13,Medallón de vegetal burguer Vegetalex 2 uni,"$ 4.332,00",,,,,
2025-07-13,Medallón de verduras Vegetalex en caja 4 uni,"$ 4.151,20",,,,,
2025-07-13,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,$4.600,"$3.187,5"
2025-07-13,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,,"$3.187,5"
2025-07-13,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,$4.600,"$3.187,5"
2025-07-13,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,,,,,$4.100,
2025-07-13,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 2.210,,
2025-07-13,Milanesa de calabaza Vegetalex 4 uni,"$ 3.199,20",,,,,
2025-07-13,Milanesa de soja Vegetalex 4 uni,"$ 2.720,00",,,,,
2025-07-13,Milanesa de soja y cebolla Vegetalex 4 uni,"$ 3.199,20",,,,,
2025-07-13,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 3.199,20",,,,,
2025-07-13,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$2.599,35",,,
2025-07-13,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$2.599,35",,,
2025-07-13,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$2.599,35",,,
2025-07-13,Milanesas De Soja Tradicional Vegetalex 340g,,,"$2.404,35",,,
2025-07-13,Milanesas De Soja Vegetalex Con Calabaza X4 340grs,,"$$4.000,00",,,,
2025-07-13,Milanesas De Soja Vegetalex Con Cebolla X4 340grs,,"$$4.000,00",,,,
2025-07-13,Milanesas De Soja Vegetalex Con Espinaca X4 340grs,,"$$4.000,00",,,,
2025-07-13,Milanesas De Soja Vegetalex Tradicionales X4 340grs,,"$$3.650,00",,,,
2025-07-13,Nuggets 100 Vegetal 300 Gr Vegetalex,,,,,$6.550,$4.575
2025-07-13,Nuggets De Origen Vegetal Vegetalex 300g,,,"$5.819,00",,,
2025-07-13,Nuggets Vegetalex Origen Vegetal 300grs,,"$$5.800,00",,,,
2025-07-13,Nuggets vegetal Vegetalex 300 g.,"$ 4.591,20",,,,,
2025-07-13,Snack De Arroz Con Chocolate Vegetalex 60g,,,"$2.013,99",,,
2025-07-13,Snack De Arroz Sabor Queso Vegetalex 40g,,,"$1.393,99",,,
2025-07-13,Snack De Arroz Y Quinoa Vegetalex 40g,,,"$1.393,99",,,
