fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-10-02,Burger 100 Vegetal 226 Gr Vegetalex,,,,,$7.150,$6.650
2025-10-02,Burger De Origen Vegetal Vegetalex 226g,,,"$6.359,00",,,
2025-10-02,Formados De Vegetales Vegetalex Tipo Hot Dogs X6 225grs,,"$$6.349,00",,,,
2025-10-02,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 6.350,,
2025-10-02,Hamburguesa Vegetalex Soja 300 Gr,,,,,$6.300,$5.800
2025-10-02,Hamburguesa de soja Vegetalex 4 u.,"$ 5.669,00",,,,,
2025-10-02,Hamburguesas De Soja Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-02,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,$7.250,$6.700
2025-10-02,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$6.329,00",,,
2025-10-02,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 6.350,,
2025-10-02,Medallon NotBurger Quick NotCo 130 Gr.,,,,"$ 2.028,65",,
2025-10-02,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$5.675,00",,,
2025-10-02,Medallones De Calabaza Vegetalex Con Avena Y Chía X4 300grs,,"$$5.590,00",,,,
2025-10-02,Medallones De Espinaca Vegetalex 300g,,,"$5.675,00",,,
2025-10-02,Medallones De Espinaca Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-02,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$5.675,00",,,
2025-10-02,Medallones De Legumbres Y Quinoa Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-02,Medallones De Vegetales Vegetalex Burger X2 226grs,,"$$6.349,00",,,,
2025-10-02,Medallones De Verduras Vegetalex 300g,,,"$5.675,00",,,
2025-10-02,Medallones De Verduras Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-02,Medallones Vegetales VEGETALÉX 4 Uni X 75 Gr Soja,,,"$5.675,00",,,
2025-10-02,Medallón Calabaza 300 Gr Vegetalex,,,,,$6.400,$5.950
2025-10-02,Medallón Espinaca 300 Gr Vegetalex,,,,,$6.400,$5.950
2025-10-02,Medallón Legumbres 300 Gr Vegetalex,,,,,$6.400,$5.950
2025-10-02,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 4.316,,
2025-10-02,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 5.670,,
2025-10-02,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 5.670,,
2025-10-02,Medallón Verduras 300 Gr Vegetalex,,,,,$6.400,$5.950
2025-10-02,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 5.670,00",,,,,
2025-10-02,Medallón de espinaca Vegetalex en caja 4 uni,"$ 5.670,00",,,,,
2025-10-02,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 5.669,00",,,,,
2025-10-02,Medallón de vegetal burguer Vegetalex 2 uni,"$ 6.350,00",,,,,
2025-10-02,Medallón de verduras Vegetalex en caja 4 uni,"$ 5.675,00",,,,,
2025-10-02,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,$5.050,"$3.022,5"
2025-10-02,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,$5.050,"$3.022,5"
2025-10-02,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,$5.050,"$3.022,5"
2025-10-02,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,,,,,$4.500,$2.730
2025-10-02,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 3.990,,
2025-10-02,Milanesa de calabaza Vegetalex 4 uni,"$ 2.622,00",,,,,
2025-10-02,Milanesa de soja Vegetalex 4 uni,"$ 2.190,00",,,,,
2025-10-02,Milanesa de soja y cebolla Vegetalex 4 uni,"$ 2.622,00",,,,,
2025-10-02,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 2.399,40",,,,,
2025-10-02,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$2.840,50",,,
