fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-07-04,Alimento a base de vegetales Vegetalex hot dog x6.,"$ 7.550,00",,,,,
2026-07-04,Burger De Origen Vegetal Vegetalex 226g,,,"$7.649,00",,,
2026-07-04,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 7.649,,
2026-07-04,Hamburguesas Veganas 226 Grs x 2 Un Vegetalex,,,,,"$8.150,00",$7.650
2026-07-04,Hamburguesas de Soja Tradicionales 300 Grs x 4 Un Vegetalex,,,,,"$7.350,00",$7.050
2026-07-04,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$7.649,00",,,
2026-07-04,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 7.550,,
2026-07-04,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$5.118,34",,,
2026-07-04,Medallones De Espinaca Vegetalex 300g,,,"$6.829,00",,,
2026-07-04,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$5.118,34",,,
2026-07-04,Medallones De Verduras Vegetalex 300g,,,"$6.829,00",,,
2026-07-04,Medallones De Verduras Vegetalex X4 300grs,,"$6.969,00",,,,
2026-07-04,Medallones de Legumbres y Quinoa 300 Grs x 4 Un Vegetalex,,,,,"$7.350,00",$7.050
2026-07-04,Medallones de Sabor Calabaza Avena y Chia 300 Grs x 4 Un Vegetalex,,,,,"$7.350,00",$7.050
2026-07-04,Medallones de Sabor Espinaca 300 Grs x 4 Un Vegetalex,,,,,"$7.350,00",$7.050
2026-07-04,Medallones de Verduras 300 Grs x 4 Un Vegetalex,,,,,"$7.350,00",$7.050
2026-07-04,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 4.990,,
2026-07-04,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 6.830,,
2026-07-04,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 6.829,00",,,,,
2026-07-04,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 6.889,00",,,,,
2026-07-04,Medallón de verduras Vegetalex en caja 4 uni,"$ 6.889,00",,,,,
2026-07-04,Milanesa De Soja Con Espinaca Vegetalex 340 Gr.,,,,$ 3.990,,
2026-07-04,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 4.750,,
2026-07-04,Milanesa de calabaza Vegetalex 4 uni,"$ 5.320,00",,,,,
2026-07-04,Milanesa de soja Vegetalex 4 uni,"$ 4.750,00",,,,,
2026-07-04,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 5.200,00",,,,,
2026-07-04,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$3.938,99",,,
2026-07-04,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$3.988,76",,,
2026-07-04,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$5.259,00",,,
2026-07-04,Milanesas De Soja Tradicional Vegetalex 340g,,,"$4.789,00",,,
2026-07-04,Milanesas de Soja Sabor Calabaza 340 Grs x 4 Un Vegetalex,,,,,"$5.550,00",$5.050
2026-07-04,Milanesas de Soja Sabor Cebolla 340 Grs x 4 Un Vegetalex,,,,,"$5.550,00",$5.050
2026-07-04,Milanesas de Soja Sabor Espinaca 340 Grs x 4 Un Vegetalex,,,,,"$5.550,00",$5.050
2026-07-04,Milanesas de Soja Tradicionales 340 Grs x 4 Un Vegetalex,,,,,"$5.100,00",
2026-07-04,Nuggets De Origen Vegetal Vegetalex 300g,,,"$7.649,00",,,
2026-07-04,Nuggets Vegetales 300 Grs Vegetalex,,,,,"$8.100,00",
2026-07-04,Nuggets vegetal Vegetalex 300 g.,"$ 7.649,00",,,,,
2026-07-04,Salchichas Vegetarianas 225 Grs x 6 Un Vegetalex,,,,,"$8.150,00",$7.650
2026-07-04,Snack De Arroz Con Chocolate Vegetalex 60g,,,"$2.697,00",,,
2026-07-04,Snack De Arroz Sabor Queso Vegetalex 40g,,,"$1.868,00",,,
2026-07-04,Snack De Arroz Y Quinoa Vegetalex 40g,,,"$1.868,00",,,
