fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-07-16,Alimento a base de vegetales Vegetalex hot dog x6.,"$ 4.065,00",,,,,
2025-07-16,Burger 100 Vegetal 226 Gr Vegetalex,,,,,$6.500,$6.050
2025-07-16,Burger De Origen Vegetal Vegetalex 226g,,,"$3.518,66",,,
2025-07-16,Formados De Vegetales Vegetalex Tipo Hot Dogs X6 225grs,,"$$5.800,00",,,,
2025-07-16,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 5.810,,
2025-07-16,Hamburguesa Vegetalex Soja 300 Gr,,,,,$5.700,$5.300
2025-07-16,Hamburguesa de soja Vegetalex 4 u.,"$ 4.249,00",,,,,
2025-07-16,Hamburguesas De Soja Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-16,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,,$6.100
2025-07-16,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$3.518,66",,,
2025-07-16,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 5.810,,
2025-07-16,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$5.189,00",,,
2025-07-16,Medallones De Calabaza Vegetalex Con Avena Y Chía X4 300grs,,"$$5.190,00",,,,
2025-07-16,Medallones De Espinaca Vegetalex 300g,,,"$5.189,00",,,
2025-07-16,Medallones De Espinaca Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-16,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$5.189,00",,,
2025-07-16,Medallones De Legumbres Y Quinoa Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-16,Medallones De Vegetales Vegetalex Burger X2 226grs,,"$$5.800,00",,,,
2025-07-16,Medallones De Verduras Vegetalex 300g,,,"$5.189,00",,,
2025-07-16,Medallones De Verduras Vegetalex X4 300grs,,"$$5.190,00",,,,
2025-07-16,Medallones Vegetales VEGETALÉX 4 Uni X 75 Gr Soja,,,"$5.189,00",,,
2025-07-16,Medallón Calabaza 300 Gr Vegetalex,,,,,$5.800,$5.400
2025-07-16,Medallón Espinaca 300 Gr Vegetalex,,,,,$5.800,$5.400
2025-07-16,Medallón Legumbres 300 Gr Vegetalex,,,,,$5.800,$5.400
2025-07-16,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 5.200,,
2025-07-16,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 5.200,,
2025-07-16,Medallón Verduras 300 Gr Vegetalex,,,,,$5.800,$5.400
2025-07-16,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 4.840,00",,,,,
2025-07-16,Medallón de espinaca Vegetalex en caja 4 uni,"$ 4.840,00",,,,,
2025-07-16,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 5.189,00",,,,,
2025-07-16,Medallón de vegetal burguer Vegetalex 2 uni,"$ 4.061,25",,,,,
2025-07-16,Medallón de verduras Vegetalex en caja 4 uni,"$ 5.189,00",,,,,
2025-07-16,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,$4.600,$4.250
2025-07-16,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,,$4.250
2025-07-16,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,$4.600,$4.250
2025-07-16,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,,,,,$4.100,$3.800
2025-07-16,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 3.650,,
2025-07-16,Milanesa de calabaza Vegetalex 4 uni,"$ 3.999,00",,,,,
2025-07-16,Milanesa de soja Vegetalex 4 uni,"$ 3.400,00",,,,,
2025-07-16,Milanesa de soja y cebolla Vegetalex 4 uni,"$ 3.999,00",,,,,
2025-07-16,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 3.999,00",,,,,
2025-07-16,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$3.999,00",,,
2025-07-16,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$3.999,00",,,
2025-07-16,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$3.999,00",,,
2025-07-16,Milanesas De Soja Tradicional Vegetalex 340g,,,"$3.699,00",,,
2025-07-16,Milanesas De Soja Vegetalex Con Calabaza X4 340grs,,"$$4.000,00",,,,
2025-07-16,Milanesas De Soja Vegetalex Con Cebolla X4 340grs,,"$$4.000,00",,,,
2025-07-16,Milanesas De Soja Vegetalex Con Espinaca X4 340grs,,"$$4.000,00",,,,
2025-07-16,Milanesas De Soja Vegetalex Tradicionales X4 340grs,,"$$3.650,00",,,,
2025-07-16,Nuggets 100 Vegetal 300 Gr Vegetalex,,,,,$6.550,$6.100
2025-07-16,Nuggets De Origen Vegetal Vegetalex 300g,,,"$3.518,66",,,
2025-07-16,Nuggets Vegetalex Origen Vegetal 300grs,,"$$5.800,00",,,,
2025-07-16,Nuggets vegetal Vegetalex 300 g.,"$ 5.739,00",,,,,
2025-07-16,Snack De Arroz Con Chocolate Vegetalex 60g,,,"$2.013,99",,,
2025-07-16,Snack De Arroz Sabor Queso Vegetalex 40g,,,"$1.393,99",,,
2025-07-16,Snack De Arroz Y Quinoa Vegetalex 40g,,,"$1.393,99",,,
